sample_index,target_node,tod_band,congestion,condition,source,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,n_cited_causes,n_topk
3544,144,midday,medium,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
4987,144,midday,medium,A_mismatch,new,1.0,0.25,0.4,0.0,2,8
6133,56,midday,medium,A_mismatch,new,1.0,0.875,0.9333333333333333,0.0,3,8
6150,56,midday,medium,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,2,8
1242,12,midday,medium,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,2,8
2391,124,midday,medium,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
6134,144,midday,medium,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,3,8
3296,121,midday,high,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
5574,155,midday,high,A_mismatch,new,1.0,0.25,0.4,0.0,2,8
982,150,midday,high,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,3,8
5587,155,midday,high,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,2,8
2724,155,midday,high,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
6735,16,midday,high,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
3270,10,midday,high,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,3,8
1879,61,pm_rush,low,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
1919,16,pm_rush,low,A_mismatch,new,1.0,0.25,0.4,0.0,2,8
5668,144,pm_rush,low,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,3,8
1926,77,pm_rush,low,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,3,8
2210,96,pm_rush,low,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,2,8
5923,12,pm_rush,low,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
1918,16,pm_rush,low,A_mismatch,new,1.0,0.875,0.9333333333333333,0.0,3,8
3644,155,pm_rush,medium,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
1874,61,pm_rush,medium,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,3,8
4222,12,pm_rush,medium,A_mismatch,new,1.0,0.375,0.5454545454545454,0.0,3,8
4797,121,pm_rush,medium,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,3,8
1344,12,pm_rush,medium,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,3,8
765,12,pm_rush,medium,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,3,8
4223,12,pm_rush,medium,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
1603,206,pm_rush,high,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
3365,206,pm_rush,high,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,3,8
3894,91,pm_rush,high,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
5049,38,pm_rush,high,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
6795,149,pm_rush,high,A_mismatch,new,1.0,0.875,0.9333333333333333,0.0,2,8
4767,155,pm_rush,high,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
3626,206,pm_rush,high,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,2,8
2821,16,evening,low,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
6828,193,evening,low,A_mismatch,new,1.0,0.25,0.4,0.0,2,8
6581,197,evening,low,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
219,16,evening,low,A_mismatch,new,1.0,0.875,0.9333333333333333,0.0,3,8
236,16,evening,low,A_mismatch,new,1.0,1.0,1.0,0.0,5,8
2530,135,evening,low,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,4,8
6292,77,evening,low,A_mismatch,new,1.0,1.0,1.0,0.0,2,8
5424,142,evening,medium,A_mismatch,new,1.0,0.25,0.4,0.0,2,8
5702,206,evening,medium,A_mismatch,new,1.0,0.375,0.5454545454545454,0.0,2,8
5421,145,evening,medium,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,2,8
5716,155,evening,medium,A_mismatch,new,1.0,0.375,0.5454545454545454,0.0,2,8
5385,155,evening,medium,A_mismatch,new,0.5,0.625,0.5555555555555556,0.5,2,8
5423,142,evening,medium,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
5420,145,evening,medium,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,2,8
3370,206,evening,high,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
3369,206,evening,high,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
